K,Method,Accuracy,Accuracy_CI_low,Accuracy_CI_high,ECE,ECE_CI_low,ECE_CI_high,Instability,Instability_CI_low,Instability_CI_high,Kendall,Top3_Churn,p50_latency_ms,p95_latency_ms,adjusted_p,effect_size,pareto_status
20,B2_Cyclic_M5,0.7917,0.725,0.8667,0.107,0.1385,0.2428,0.0333,0.0083,0.0667,0.0224,0.16,486.82,741.21,1.0000,+0.0250,PARETO_OPTIMAL
40,B0_Native,0.6167,0.525,0.7083,0.265,0.2602,0.4074,0.0,0.0,0.0,0.0,0.0,146.08,181.16,1.0000,+0.0000,PARETO_OPTIMAL
40,B0_Random,0.65,0.5583,0.7333,0.2673,0.2586,0.404,0.2209,0.18,0.2676,0.0494,0.3782,146.08,181.16,1.0000,+0.0333,"Dominated by: B1_Alpha,B1_ReverseAlpha"
40,B1_Alpha,0.6917,0.6083,0.7669,0.2122,0.2149,0.3481,0.1667,0.1,0.2333,0.0415,0.3467,146.08,181.16,0.4922,+0.0750,Dominated by: B1_ReverseAlpha
40,B1_ReverseAlpha,0.725,0.6415,0.8083,0.2319,0.2072,0.352,0.1667,0.1,0.2333,0.0415,0.3467,146.08,181.16,0.0996,+0.1083,PARETO_OPTIMAL
40,Rand_Marg_M2,0.7,0.6167,0.7833,0.1746,0.2483,0.3771,0.1833,0.1167,0.25,0.0628,0.3817,292.15,362.33,0.2661,+0.0833,Dominated by: B1_ReverseAlpha
40,Rand_Marg_M3,0.7,0.6167,0.775,0.1741,0.2553,0.3784,0.1417,0.0833,0.2083,0.0717,0.4092,438.23,543.49,0.2344,+0.0833,PARETO_OPTIMAL
40,Rand_Marg_M5,0.7,0.6167,0.775,0.1835,0.2523,0.3666,0.1167,0.0583,0.175,0.0792,0.4025,730.38,905.82,0.2344,+0.0833,Dominated by: B2_Cyclic_M5
40,B2_Cyclic_M2,0.6667,0.5833,0.75,0.2105,0.2632,0.3906,0.125,0.075,0.1833,0.0367,0.3017,292.15,362.33,0.2344,+0.0500,PARETO_OPTIMAL
40,B2_Cyclic_M3,0.6917,0.6083,0.775,0.164,0.2264,0.3525,0.1,0.05,0.1583,0.0344,0.2492,438.23,543.49,0.1758,+0.0750,PARETO_OPTIMAL
40,B2_Cyclic_M5,0.7083,0.625,0.7917,0.1723,0.2283,0.3488,0.05,0.0167,0.0917,0.0281,0.2125,730.38,905.82,0.0440,+0.0917,PARETO_OPTIMAL
77,B0_Native,0.4222,0.3416,0.4972,0.37,0.3507,0.4756,0.0,0.0,0.0,0.0,0.0,224.68,303.75,1.0000,+0.0000,PARETO_OPTIMAL
77,B0_Random,0.4361,0.3583,0.5083,0.3857,0.345,0.4674,0.4728,0.4277,0.519,0.0755,0.5637,224.68,303.75,1.0000,+0.0139,PARETO_OPTIMAL
77,B1_Alpha,0.4917,0.4,0.5833,0.3341,0.349,0.4907,0.5583,0.4748,0.65,0.0578,0.6114,224.68,303.75,1.0000,+0.0694,PARETO_OPTIMAL
77,B1_ReverseAlpha,0.45,0.3583,0.5417,0.3701,0.3627,0.5087,0.5583,0.4748,0.65,0.0578,0.6114,224.68,303.75,1.0000,+0.0278,Dominated by: B1_Alpha
77,Rand_Marg_M2,0.4778,0.3999,0.5528,0.2015,0.3009,0.3984,0.3806,0.3167,0.4472,0.1125,0.5258,449.37,607.5,1.0000,+0.0556,Dominated by: B2_Cyclic_M2
77,Rand_Marg_M3,0.5083,0.4306,0.5833,0.2037,0.2579,0.346,0.3472,0.2917,0.4111,0.1271,0.4969,674.05,911.25,1.0000,+0.0861,PARETO_OPTIMAL
77,Rand_Marg_M5,0.55,0.4694,0.625,0.096,0.2683,0.3522,0.2583,0.2028,0.3195,0.1504,0.4633,1123.41,1518.75,1.0000,+0.1278,PARETO_OPTIMAL
77,B2_Cyclic_M2,0.4806,0.3972,0.5556,0.2182,0.2773,0.369,0.2944,0.2444,0.3472,0.0619,0.4272,449.37,607.5,1.0000,+0.0583,PARETO_OPTIMAL
77,B2_Cyclic_M3,0.4972,0.4167,0.5722,0.1471,0.2454,0.3373,0.2306,0.1833,0.2834,0.0588,0.375,674.05,911.25,1.0000,+0.0750,PARETO_OPTIMAL
77,B2_Cyclic_M5,0.4972,0.4167,0.5722,0.1619,0.2635,0.3513,0.1611,0.1194,0.2056,0.0522,0.305,1123.41,1518.75,1.0000,+0.0750,PARETO_OPTIMAL
