K,Random_Guess_Baseline,Method,Accuracy,Accuracy_95CI_Lo,Accuracy_95CI_Hi,ECE,ECE_95CI_Lo,ECE_95CI_Hi,FR_top1,FR_top1_95CI_Lo,FR_top1_95CI_Hi,CrossCanonicalFlip,CrossCanonicalFlip_95CI_Lo,CrossCanonicalFlip_95CI_Hi,Kendall_Dist,Top3_Churn,Mean_Logit_Variance,Latency_p50_ms,Latency_p95_ms,Adjusted_p_value,Significant_vs_B0
40,0.025,B1_Alpha,0.6917,0.6083,0.775,0.2122,0.1608,0.3005,0.0,0.0,0.0,0.1667,0.1083,0.2333,0.0415,0.3467,36.1314,146.07,181.17,0.49219,False
40,0.025,B1_ReverseAlpha,0.725,0.6417,0.8083,0.2319,0.1733,0.3138,0.0,0.0,0.0,0.1667,0.1083,0.2333,0.0415,0.3467,36.1314,146.07,181.17,0.09956,False
40,0.025,Rand_Marg_M2,0.7,0.6167,0.775,0.1746,0.1346,0.267,0.1833,0.1167,0.2583,,,,0.0628,0.3817,36.1314,292.15,362.33,0.26608,False
40,0.025,Rand_Marg_M3,0.7,0.6083,0.7833,0.1741,0.139,0.2646,0.1417,0.0833,0.2167,,,,0.0717,0.4092,36.1314,438.23,543.49,0.23438,False
40,0.025,Rand_Marg_M5,0.7,0.6167,0.7833,0.1802,0.1408,0.2668,0.1167,0.0583,0.1833,,,,0.0792,0.4025,36.1314,730.38,905.82,0.23438,False
40,0.025,B2_Cyclic_M2,0.6667,0.5833,0.75,0.2123,0.1653,0.3049,0.125,0.075,0.1833,,,,0.0367,0.3017,36.1314,292.15,362.33,0.23438,False
40,0.025,B2_Cyclic_M3,0.6917,0.6083,0.775,0.164,0.1244,0.256,0.1,0.05,0.1583,,,,0.0344,0.2492,36.1314,438.23,543.49,0.17578,False
40,0.025,B2_Cyclic_M5,0.7083,0.6333,0.7835,0.1724,0.1284,0.2561,0.05,0.0167,0.0917,,,,0.0281,0.2125,36.1314,730.38,905.82,0.04395,True
77,0.013,B0_Native,0.4222,0.3472,0.4972,0.37,0.296,0.4528,0.0,0.0,0.0,,,,0.0,0.0,63.3372,224.68,303.75,1.0,False
77,0.013,B0_Random,0.4361,0.3639,0.5111,0.3857,0.3078,0.4747,0.4728,0.4278,0.5185,,,,0.0755,0.5637,63.3372,224.68,303.75,1.0,False
77,0.013,B1_Alpha,0.4917,0.4,0.575,0.3341,0.2737,0.4256,0.0,0.0,0.0,0.5583,0.4665,0.65,0.0578,0.6114,63.3372,224.68,303.75,1.0,False
77,0.013,B1_ReverseAlpha,0.45,0.3667,0.5333,0.3701,0.2983,0.4586,0.0,0.0,0.0,0.5583,0.4665,0.65,0.0578,0.6114,63.3372,224.68,303.75,1.0,False
77,0.013,Rand_Marg_M2,0.4778,0.3972,0.5528,0.2015,0.1649,0.3086,0.3806,0.3166,0.4473,,,,0.1125,0.5258,63.3372,449.37,607.51,1.0,False
77,0.013,Rand_Marg_M3,0.5083,0.4278,0.5917,0.2037,0.1604,0.2945,0.3472,0.286,0.4111,,,,0.1271,0.4969,63.3372,674.05,911.25,1.0,False
77,0.013,Rand_Marg_M5,0.55,0.4694,0.625,0.096,0.0902,0.2047,0.2583,0.2028,0.3111,,,,0.1504,0.4633,63.3372,1123.41,1518.75,1.0,False
77,0.013,B2_Cyclic_M2,0.4806,0.4111,0.5556,0.2182,0.1641,0.3061,0.2944,0.2389,0.35,,,,0.0619,0.4272,63.3372,449.37,607.51,1.0,False
77,0.013,B2_Cyclic_M3,0.4972,0.4222,0.575,0.1471,0.1103,0.2388,0.2305,0.1806,0.2805,,,,0.0588,0.375,63.3372,674.05,911.25,1.0,False
77,0.013,B2_Cyclic_M5,0.4972,0.4222,0.5778,0.1619,0.1263,0.2639,0.1611,0.1221,0.2,,,,0.0522,0.305,63.3372,1123.41,1518.75,1.0,False
